txn_id,user_id,merchant_id,txn_timestamp,txn_date,txn_hour,txn_day_of_week,amount,merchant_category,payment_mode,device_id,is_new_device,is_fraud,fraud_type,user_avg_amt,user_std_amt,user_amt_zscore,hour_risk_score,typical_hour_min,typical_hour_max,is_outside_typical_hour,last_txn_date,days_since_last_txn,is_new_device_high_amount,merchant_refund_rate,chargeback_count,registration_days,merchant_risk_flag,merchant_is_new,category_risk_score,fraud_score,risk_level
TXN-00015,USR-0456,MRC-0004,2023-07-22 13:38:28,2023-07-22,13,SAT,16410.9,FUEL,COLLECT_REQUEST,DEV-40750,True,False,,14570.326666666666,12582.562074358233,0.15,10,8,22,0,2023-03-03,141,0,2.16,2,85,LOW,0,10,15.18,LOW
TXN-00016,USR-0329,MRC-0002,2023-07-22 01:01:54,2023-07-22,1,SAT,60538.72,FUEL,COLLECT_REQUEST,DEV-71893,True,False,,102669.54914285714,174679.92117436166,-0.24,100,7,21,1,2023-02-21,151,0,0.7,4,797,LOW,0,10,36.56,MEDIUM
TXN-00017,USR-0224,MRC-0261,2023-05-31 21:25:36,2023-05-31,21,WED,15909.65,CRYPTO_EXCHANGE,UPI_QR,DEV-76296,False,False,,29321.76035714286,7719.715246690214,-1.74,10,10,21,0,2023-01-14,137,0,13.99,39,631,HIGH,0,90,32.19,MEDIUM
TXN-00018,USR-0346,MRC-0181,2023-12-19 07:56:53,2023-12-19,7,TUE,59073.57,CRYPTO_EXCHANGE,COLLECT_REQUEST,DEV-84831,True,False,,86837.9878125,132977.9691699879,-0.21,40,8,22,1,2023-01-12,341,0,10.22,3,1700,HIGH,0,90,40.18,HIGH
TXN-00019,USR-0456,MRC-0199,2023-09-21 04:52:08,2023-09-21,4,THU,72648.59,FUEL,UPI_QR,DEV-40750,False,True,DORMANT_SPIKE,14570.326666666666,12582.562074358233,4.62,100,8,22,1,2023-03-03,202,0,0.95,19,114,LOW,0,10,50.62,HIGH
TXN-00020,USR-0449,MRC-0080,2023-07-11 06:44:13,2023-07-11,6,TUE,3944.95,RETAIL,UPI_QR,DEV-10531,True,False,,3616.9466666666667,4769.039099371217,0.07,40,9,20,1,2023-02-28,133,0,2.12,40,413,LOW,0,10,25.91,MEDIUM
TXN-00021,USR-0175,MRC-0158,2023-07-25 22:50:26,2023-07-25,22,TUE,12127.1,RETAIL,COLLECT_REQUEST,DEV-69833,True,False,,24430.7775,38066.11477929089,-0.32,10,7,20,1,2023-01-13,193,0,2.74,46,1463,LOW,0,10,20.19,MEDIUM
TXN-00022,USR-0449,MRC-0205,2024-03-17 10:08:55,2024-03-17,10,SUN,3957.61,GAMING,UPI_ID,DEV-10531,False,False,,3616.9466666666667,4769.039099371217,0.07,10,9,20,0,2023-02-28,383,0,11.49,22,1315,HIGH,0,60,27.4,MEDIUM
TXN-00023,USR-0231,MRC-0122,2023-11-23 09:56:48,2023-11-23,9,THU,63960.97,FOOD,UPI_QR,DEV-45836,True,False,,43397.136399999996,16427.947375349137,1.25,10,10,21,1,2023-01-15,312,0,0.98,37,1341,LOW,0,5,22.03,MEDIUM
TXN-00024,USR-0385,MRC-0104,2023-09-27 17:28:19,2023-09-27,17,WED,12173.42,RETAIL,UPI_QR,DEV-66796,False,True,MERCHANT_FRAUD,15691.394242424243,30983.606926358356,-0.11,10,8,20,0,2023-01-05,265,0,2.24,27,482,LOW,0,10,14.79,LOW
TXN-00025,USR-0244,MRC-0202,2024-03-22 05:27:47,2024-03-22,5,FRI,34829.52,FUEL,UPI_QR,DEV-39425,True,False,,66879.46333333333,130426.84881691865,-0.25,40,9,20,1,2023-03-07,381,0,0.88,43,1371,LOW,0,10,24.7,MEDIUM
TXN-00026,USR-0252,MRC-0298,2023-12-17 08:33:08,2023-12-17,8,SUN,26804.7,RETAIL,UPI_ID,DEV-34538,True,False,,38760.99384615385,14089.806093856672,-0.85,10,7,23,0,2023-02-16,304,0,0.22,36,1543,LOW,0,10,13.18,LOW
TXN-00027,USR-0215,MRC-0169,2023-04-04 09:55:20,2023-04-04,9,TUE,29470.02,FUEL,UPI_ID,DEV-22705,True,False,,65413.25771428571,114458.527854993,-0.31,10,8,23,0,2023-03-04,31,0,1.39,21,1567,LOW,0,10,4.11,LOW
TXN-00028,USR-0404,MRC-0272,2023-12-12 01:20:11,2023-12-12,1,TUE,33700.54,FUEL,COLLECT_REQUEST,DEV-97158,True,False,,30163.910000000003,24708.70033669624,0.14,100,8,21,1,2023-03-18,269,0,3.98,16,781,LOW,0,10,39.6,MEDIUM
TXN-00029,USR-0124,MRC-0201,2023-05-18 10:36:27,2023-05-18,10,THU,28155.21,CRYPTO_EXCHANGE,UPI_QR,DEV-59023,True,False,,18783.046363636364,6427.067236653715,1.46,10,8,21,0,2023-02-16,91,0,12.84,28,1426,HIGH,0,90,35.65,MEDIUM
TXN-00030,USR-0292,MRC-0201,2023-11-06 22:18:43,2023-11-06,22,MON,52696.33,CRYPTO_EXCHANGE,UPI_QR,DEV-39507,True,False,,57126.832727272726,42205.69762926448,-0.1,10,8,21,1,2023-01-20,290,0,12.84,28,1426,HIGH,0,90,36.27,MEDIUM
TXN-00031,USR-0083,MRC-0142,2023-08-26 14:48:11,2023-08-26,14,SAT,20276.81,FOOD,COLLECT_REQUEST,DEV-31672,True,False,,13043.433846153846,4151.290246145722,1.74,10,8,22,0,2023-01-26,212,0,1.59,50,160,LOW,0,5,18.99,LOW
TXN-00032,USR-0218,MRC-0269,2024-01-07 00:15:06,2024-01-07,0,SUN,67570.18,CRYPTO_EXCHANGE,UPI_QR,DEV-68289,True,False,,63093.8088,88913.82279659758,0.05,70,10,21,1,2023-02-23,318,0,14.19,15,1056,HIGH,0,90,49.5,HIGH
TXN-00033,USR-0407,MRC-0080,2023-04-10 13:48:56,2023-04-10,13,MON,82736.03,RETAIL,COLLECT_REQUEST,DEV-33996,True,False,,76382.72333333334,98548.98500008206,0.06,10,8,22,0,2023-02-12,57,0,2.12,40,413,LOW,0,10,4.88,LOW
TXN-00034,USR-0091,MRC-0209,2023-11-25 21:38:21,2023-11-25,21,SAT,21435.91,FUEL,COLLECT_REQUEST,DEV-15052,True,False,,38705.53814814815,17704.65074784177,-0.98,10,9,21,0,2023-01-21,308,0,3.53,40,431,LOW,0,10,15.82,LOW
TXN-00035,USR-0283,MRC-0023,2023-09-29 11:08:27,2023-09-29,11,FRI,59753.97,FUEL,UPI_ID,DEV-41882,True,False,,60776.25405405405,70233.40315891618,-0.01,10,7,22,0,2023-03-16,197,0,2.81,42,1719,LOW,0,10,15.25,LOW
TXN-00036,USR-0285,MRC-0068,2024-02-27 19:06:56,2024-02-27,19,TUE,14899.53,FOOD,COLLECT_REQUEST,DEV-11204,True,False,,30459.996571428568,35651.674674829206,-0.44,10,8,21,0,2023-03-26,338,0,1.81,39,1099,LOW,0,5,13.95,LOW
TXN-00037,USR-0254,MRC-0008,2023-06-21 16:28:11,2023-06-21,16,WED,2283.29,FUEL,UPI_ID,DEV-28850,True,False,,7052.49,11814.019261116415,-0.4,10,9,23,0,2023-03-25,88,0,3.66,22,535,LOW,0,10,15.93,LOW
TXN-00038,USR-0199,MRC-0120,2023-08-25 00:17:25,2023-08-25,0,FRI,56378.34,GAMING,UPI_ID,DEV-87425,True,False,,72173.33448275863,56314.71141804895,-0.28,70,10,21,1,2023-01-25,212,0,10.5,36,167,HIGH,0,60,43.4,HIGH
TXN-00039,USR-0121,MRC-0209,2023-05-20 21:43:36,2023-05-20,21,SAT,35421.14,FUEL,UPI_QR,DEV-89161,True,False,,26885.764444444445,18184.15490181233,0.47,10,9,22,0,2023-03-13,68,0,3.53,40,431,LOW,0,10,17.23,LOW
TXN-00040,USR-0259,MRC-0185,2023-06-29 12:49:39,2023-06-29,12,THU,11341.11,GAMING,COLLECT_REQUEST,DEV-13813,True,False,,18529.359393939394,32685.89723129313,-0.22,10,7,21,0,2023-02-11,138,0,9.95,12,1558,MEDIUM,0,60,25.96,MEDIUM
TXN-00041,USR-0310,MRC-0102,2023-10-18 00:36:07,2023-10-18,0,WED,42425.04,FOOD,UPI_QR,DEV-40042,True,False,,28298.782647058822,11412.85723107783,1.24,70,7,22,1,2023-03-03,229,0,0.45,6,1413,LOW,0,5,33.58,MEDIUM
TXN-00042,USR-0039,MRC-0059,2024-02-06 02:15:17,2024-02-06,2,TUE,148543.42,FOOD,UPI_ID,DEV-37519,True,True,DORMANT_SPIKE,49081.56774193548,80666.84173031438,1.23,100,7,22,1,2023-01-25,377,1,3.36,36,655,LOW,0,5,56.88,HIGH
TXN-00043,USR-0051,MRC-0127,2024-03-29 23:49:01,2024-03-29,23,FRI,532.9,TRAVEL,UPI_ID,DEV-46017,True,False,,646.6132,227.8841664406137,-0.5,70,8,20,1,2023-02-06,417,0,3.79,23,1648,LOW,0,20,34.03,MEDIUM
TXN-00044,USR-0220,MRC-0252,2023-10-01 19:21:00,2023-10-01,19,SUN,83485.41,CRYPTO_EXCHANGE,COLLECT_REQUEST,DEV-68194,True,False,,61681.17269230769,18812.215179794337,1.16,10,8,21,0,2023-01-26,248,0,5.41,18,874,MEDIUM,0,90,28.81,MEDIUM
TXN-00045,USR-0192,MRC-0220,2024-02-26 18:51:33,2024-02-26,18,MON,6337.21,TRAVEL,UPI_QR,DEV-19728,True,False,,9697.6,12336.500742630558,-0.27,10,7,22,0,2023-03-28,335,0,1.92,4,935,LOW,0,20,15.54,LOW
TXN-00046,USR-0074,MRC-0221,2023-12-17 01:33:33,2023-12-17,1,SUN,60013.06,GAMING,COLLECT_REQUEST,DEV-52664,True,False,,48563.43323529412,20066.395870596425,0.57,100,9,23,1,2023-02-03,317,0,11.64,4,1736,HIGH,0,60,52.02,HIGH
TXN-00047,USR-0329,MRC-0149,2023-12-18 14:30:38,2023-12-18,14,MON,43706.61,FUEL,UPI_QR,DEV-71893,False,False,,102669.54914285714,174679.92117436166,-0.34,10,7,21,0,2023-02-21,300,0,3.89,44,1288,LOW,0,10,16.11,LOW
TXN-00048,USR-0080,MRC-0119,2023-10-28 15:24:46,2023-10-28,15,SAT,14616.14,TRAVEL,COLLECT_REQUEST,DEV-57575,True,False,,56823.293225806454,118069.87343892358,-0.36,10,9,21,0,2023-01-01,300,0,2.0,44,193,LOW,0,20,15.6,LOW
TXN-00049,USR-0119,MRC-0196,2023-04-02 04:49:59,2023-04-02,4,SUN,11082.92,FUEL,UPI_ID,DEV-97160,True,False,,9121.202666666668,2610.0779980827015,0.75,100,8,20,1,2023-02-14,47,0,1.9,24,595,LOW,0,10,29.77,MEDIUM
TXN-00050,USR-0435,MRC-0210,2023-06-06 04:09:38,2023-06-06,4,TUE,75989.53,FOOD,COLLECT_REQUEST,DEV-42484,True,False,,91778.7936111111,176338.5927094226,-0.09,100,10,21,1,2023-01-31,126,0,3.52,47,374,LOW,0,5,38.32,MEDIUM
TXN-00051,USR-0291,MRC-0052,2024-01-01 21:35:50,2024-01-01,21,MON,8419.48,FOOD,UPI_ID,DEV-15112,True,False,,24036.122333333336,33498.54039708984,-0.47,10,10,22,0,2023-02-20,315,0,1.5,5,1273,LOW,0,5,13.7,LOW
TXN-00052,USR-0158,MRC-0165,2023-04-01 00:09:42,2023-04-01,0,SAT,5475.43,FOOD,UPI_ID,DEV-26354,True,False,,10450.147916666667,3379.1742762293648,-1.47,70,7,21,1,2023-03-02,30,0,3.12,39,1387,LOW,0,5,22.0,MEDIUM
TXN-00053,USR-0375,MRC-0090,2023-05-06 19:32:26,2023-05-06,19,SAT,26465.56,RETAIL,UPI_ID,DEV-30750,True,False,,43364.114400000006,18548.483491043833,-0.91,10,7,22,0,2023-02-06,89,0,1.04,36,161,LOW,0,10,13.83,LOW
TXN-00054,USR-0167,MRC-0167,2024-02-11 00:24:17,2024-02-11,0,SUN,1994.38,CRYPTO_EXCHANGE,COLLECT_REQUEST,DEV-35977,True,False,,1602.0724137931034,2126.4179786231643,0.18,70,8,23,1,2023-01-27,380,0,7.09,15,1269,MEDIUM,0,90,44.21,HIGH
TXN-00055,USR-0439,MRC-0253,2023-09-28 19:58:10,2023-09-28,19,THU,3111.03,GAMING,UPI_ID,DEV-49294,True,False,,8308.696249999999,10724.085516121582,-0.48,10,7,23,0,2023-02-17,223,0,7.84,46,1201,MEDIUM,0,60,24.27,MEDIUM
TXN-00056,USR-0439,MRC-0045,2023-04-01 09:08:57,2023-04-01,9,SAT,6964.2,CRYPTO_EXCHANGE,COLLECT_REQUEST,DEV-49294,False,False,,8308.696249999999,10724.085516121582,-0.13,10,7,23,0,2023-02-17,43,0,8.0,12,457,MEDIUM,0,90,17.4,LOW
TXN-00057,USR-0063,MRC-0248,2023-09-15 12:01:01,2023-09-15,12,FRI,13084.9,CRYPTO_EXCHANGE,COLLECT_REQUEST,DEV-29250,True,False,,9536.015806451613,4041.3382492905116,0.88,10,10,20,0,2023-02-19,208,0,12.22,4,931,HIGH,0,90,33.42,MEDIUM
TXN-00058,USR-0266,MRC-0168,2023-10-01 18:40:58,2023-10-01,18,SUN,66225.65,FUEL,COLLECT_REQUEST,DEV-25507,True,False,,66393.2086111111,101854.736322145,-0.0,10,10,22,0,2023-02-25,218,0,0.81,26,970,LOW,0,10,13.65,LOW
TXN-00059,USR-0270,MRC-0170,2023-05-26 16:43:50,2023-05-26,16,FRI,30320.19,FUEL,UPI_QR,DEV-62493,True,False,,38078.91333333334,60269.52874201044,-0.13,10,9,22,0,2023-02-03,112,0,0.71,9,1894,LOW,0,10,13.57,LOW
TXN-00060,USR-0079,MRC-0011,2024-01-03 21:15:22,2024-01-03,21,WED,19365.58,GAMING,UPI_ID,DEV-86162,True,False,,17450.591724137932,6134.895789206941,0.31,10,10,21,0,2023-03-02,307,0,11.41,8,604,HIGH,0,60,28.06,MEDIUM
TXN-00061,USR-0147,MRC-0185,2023-11-25 14:38:09,2023-11-25,14,SAT,31746.42,GAMING,UPI_QR,DEV-50335,True,False,,20468.258571428574,6861.722921624559,1.64,10,10,23,0,2023-01-11,318,0,9.95,12,1558,MEDIUM,0,60,30.88,MEDIUM
TXN-00062,USR-0497,MRC-0297,2023-09-05 10:22:50,2023-09-05,10,TUE,8238.35,CRYPTO_EXCHANGE,COLLECT_REQUEST,DEV-84506,True,False,,16087.45882352941,5298.380629049737,-1.48,10,9,21,0,2023-01-27,221,0,13.32,41,774,HIGH,0,90,31.66,MEDIUM
TXN-00063,USR-0474,MRC-0005,2023-04-21 10:25:00,2023-04-21,10,FRI,67353.89,FOOD,COLLECT_REQUEST,DEV-48423,True,False,,60003.84483870967,50090.542415661315,0.15,10,8,21,0,2023-03-25,27,0,3.3,21,1419,LOW,0,5,5.59,LOW
TXN-00064,USR-0197,MRC-0138,2024-02-18 00:15:05,2024-02-18,0,SUN,12116.95,FOOD,UPI_ID,DEV-48161,True,False,,24539.992083333334,13076.998376689133,-0.95,70,8,20,1,2023-01-17,397,0,0.62,34,301,LOW,0,5,30.0,MEDIUM
TXN-00065,USR-0109,MRC-0026,2023-05-21 14:53:06,2023-05-21,14,SUN,71542.61,GAMING,UPI_ID,DEV-89865,True,False,,90419.1588235294,196046.92197162745,-0.1,10,10,20,0,2023-01-26,115,0,9.71,11,1948,MEDIUM,0,60,25.77,MEDIUM
TXN-00066,USR-0279,MRC-0260,2024-02-04 06:25:46,2024-02-04,6,SUN,27084.42,RETAIL,UPI_QR,DEV-85211,True,False,,35123.625555555554,41631.09408975481,-0.19,40,9,21,1,2023-02-10,359,0,0.71,48,1391,LOW,0,10,24.57,MEDIUM
TXN-00067,USR-0262,MRC-0095,2023-08-20 19:56:08,2023-08-20,19,SUN,27923.91,FUEL,UPI_QR,DEV-21175,True,False,,49916.348750000005,70716.66311261377,-0.31,10,7,21,0,2023-03-14,159,0,3.13,34,1829,LOW,0,10,15.5,LOW
TXN-00068,USR-0414,MRC-0233,2023-09-23 00:55:10,2023-09-23,0,SAT,24047.52,GAMING,UPI_QR,DEV-78184,True,False,,25171.7408,18142.785637851783,-0.06,70,10,23,1,2023-02-28,207,0,10.99,22,1050,HIGH,0,60,43.79,HIGH
TXN-00069,USR-0487,MRC-0278,2023-11-05 06:04:58,2023-11-05,6,SUN,9701.07,FOOD,UPI_QR,DEV-10781,True,False,,10472.618620689655,4381.446248184108,-0.18,40,7,23,1,2023-03-03,247,0,0.6,19,1499,LOW,0,5,23.98,MEDIUM
TXN-00070,USR-0320,MRC-0246,2024-02-18 09:38:17,2024-02-18,9,SUN,151.6,TRAVEL,UPI_ID,DEV-91546,True,True,VELOCITY,20258.699523809522,25305.752611488617,-0.79,10,10,21,1,2023-03-03,352,0,2.66,16,882,LOW,0,20,21.13,MEDIUM
TXN-00071,USR-0302,MRC-0179,2024-02-18 00:09:35,2024-02-18,0,SUN,48868.33,GAMING,UPI_ID,DEV-87169,True,False,,40650.11057142857,15224.137872214429,0.54,70,7,20,1,2023-01-08,406,0,11.62,28,1836,HIGH,0,60,45.92,HIGH
TXN-00072,USR-0352,MRC-0080,2023-11-23 23:31:45,2023-11-23,23,THU,38.59,RETAIL,UPI_ID,DEV-67232,True,True,VELOCITY,122941.6637037037,218370.6372051164,-0.56,70,7,20,1,2023-03-15,253,0,2.12,40,413,LOW,0,10,31.7,MEDIUM
TXN-00073,USR-0304,MRC-0247,2024-02-07 16:58:39,2024-02-07,16,WED,55048.17,FUEL,UPI_ID,DEV-78159,True,False,,79711.3656,118795.22283362612,-0.21,10,9,22,0,2023-01-30,373,0,1.94,31,1133,LOW,0,10,14.55,LOW
TXN-00074,USR-0068,MRC-0262,2023-09-10 02:24:49,2023-09-10,2,SUN,14529.24,CRYPTO_EXCHANGE,UPI_QR,DEV-48081,True,False,,38439.115172413796,36465.57710149185,-0.66,100,8,21,1,2023-02-06,216,0,9.86,30,1764,MEDIUM,0,90,51.89,HIGH
TXN-00075,USR-0194,MRC-0012,2023-07-05 22:01:18,2023-07-05,22,WED,25652.32,FUEL,COLLECT_REQUEST,DEV-58920,False,False,,29358.95142857143,9949.936730606454,-0.37,10,7,21,1,2023-01-07,179,0,2.98,13,1324,LOW,0,10,20.38,MEDIUM
TXN-00076,USR-0267,MRC-0141,2023-04-08 18:29:56,2023-04-08,18,SAT,22732.52,FUEL,UPI_ID,DEV-11165,True,False,,24134.59882352941,8256.143603796367,-0.17,10,9,21,0,2023-01-21,77,0,3.11,12,1287,LOW,0,10,15.49,LOW
TXN-00077,USR-0042,MRC-0245,2024-02-29 23:28:32,2024-02-29,23,THU,85977.05,GAMING,COLLECT_REQUEST,DEV-31835,True,False,,60556.9297826087,21293.901816523954,1.19,70,8,22,1,2023-01-11,414,0,10.01,30,1255,HIGH,0,60,46.58,HIGH
TXN-00078,USR-0321,MRC-0262,2023-04-25 02:08:27,2023-04-25,2,TUE,13401.4,CRYPTO_EXCHANGE,COLLECT_REQUEST,DEV-33465,True,False,,9982.707352941175,3497.4779542825972,0.98,100,8,23,1,2023-01-21,94,0,9.86,30,1764,MEDIUM,0,90,54.83,HIGH
TXN-00079,USR-0180,MRC-0077,2023-09-23 11:27:21,2023-09-23,11,SAT,42015.14,CRYPTO_EXCHANGE,COLLECT_REQUEST,DEV-20969,True,False,,56452.33774193548,16280.403448194953,-0.89,10,9,21,0,2023-03-03,204,0,8.74,42,1269,MEDIUM,0,90,27.99,MEDIUM
TXN-00080,USR-0136,MRC-0260,2024-03-21 01:17:42,2024-03-21,1,THU,29642.68,RETAIL,UPI_QR,DEV-40510,True,False,,51492.07269230769,74033.65422894864,-0.3,100,9,23,1,2023-02-19,396,0,0.71,48,1391,LOW,0,10,36.57,MEDIUM
TXN-00081,USR-0233,MRC-0233,2023-06-17 06:16:29,2023-06-17,6,SAT,48435.42,GAMING,UPI_ID,DEV-37756,True,False,,118354.36000000002,214089.60884416514,-0.33,40,10,20,1,2023-01-15,153,0,10.99,22,1050,HIGH,0,60,37.79,MEDIUM
TXN-00082,USR-0135,MRC-0011,2023-12-02 15:25:00,2023-12-02,15,SAT,13324.8,GAMING,UPI_ID,DEV-63693,True,False,,26634.456896551725,51379.253722286594,-0.26,10,8,20,0,2023-03-13,264,0,11.41,8,604,HIGH,0,60,27.13,MEDIUM
TXN-00083,USR-0375,MRC-0092,2023-08-13 14:48:30,2023-08-13,14,SUN,26447.96,GAMING,COLLECT_REQUEST,DEV-30750,False,False,,43364.114400000006,18548.483491043833,-0.91,10,7,22,0,2023-02-06,188,0,11.45,43,1248,HIGH,0,60,27.16,MEDIUM
TXN-00084,USR-0122,MRC-0142,2023-11-13 01:18:10,2023-11-13,1,MON,246303.04,FOOD,UPI_ID,DEV-30896,True,True,DORMANT_SPIKE,31747.668636363636,48508.80324120103,4.42,100,8,21,1,2023-01-16,301,1,1.59,50,160,LOW,0,5,65.03,HIGH
TXN-00085,USR-0361,MRC-0215,2023-09-07 23:52:24,2023-09-07,23,THU,14777.93,CRYPTO_EXCHANGE,COLLECT_REQUEST,DEV-81325,True,False,,11211.004444444445,4382.380783017667,0.81,70,7,23,0,2023-03-20,171,0,10.59,2,1404,HIGH,0,90,43.9,HIGH
TXN-00086,USR-0088,MRC-0223,2023-10-30 08:16:15,2023-10-30,8,MON,2723.5,CRYPTO_EXCHANGE,COLLECT_REQUEST,DEV-89487,True,False,,2436.5328,853.7276061900541,0.34,10,10,22,1,2023-01-31,272,0,13.0,27,1735,HIGH,0,90,37.42,MEDIUM
TXN-00087,USR-0480,MRC-0144,2023-10-05 21:51:47,2023-10-05,21,THU,72166.24,FOOD,COLLECT_REQUEST,DEV-11974,True,False,,82867.50181818182,115774.19743025818,-0.09,10,8,20,1,2023-03-24,195,0,3.26,46,279,LOW,0,5,20.11,MEDIUM
TXN-00088,USR-0308,MRC-0081,2023-10-13 07:04:42,2023-10-13,7,FRI,15080.27,CRYPTO_EXCHANGE,UPI_QR,DEV-94672,True,False,,10004.970333333333,4972.32036257859,1.02,40,7,22,0,2023-02-21,234,0,10.52,37,1948,HIGH,0,90,38.48,MEDIUM
TXN-00089,USR-0473,MRC-0017,2024-01-06 16:01:18,2024-01-06,16,SAT,33964.3,CRYPTO_EXCHANGE,COLLECT_REQUEST,DEV-25635,True,False,,48985.27250000001,16108.421085870223,-0.93,10,9,23,0,2023-03-30,282,0,5.22,26,1013,MEDIUM,0,90,25.18,MEDIUM
TXN-00090,USR-0450,MRC-0161,2024-03-11 18:51:06,2024-03-11,18,MON,21396.58,RETAIL,UPI_QR,DEV-88486,True,False,,30058.570357142857,11370.012908054983,-0.76,10,9,20,0,2023-03-29,348,0,3.76,11,1200,LOW,0,10,16.01,LOW
TXN-00091,USR-0481,MRC-0105,2023-12-21 09:15:53,2023-12-21,9,THU,54447.38,CRYPTO_EXCHANGE,COLLECT_REQUEST,DEV-26134,True,False,,47995.17928571429,41816.115154939784,0.15,10,9,20,0,2023-01-18,337,0,8.49,24,844,MEDIUM,0,90,28.24,MEDIUM
TXN-00092,USR-0445,MRC-0066,2023-10-28 07:03:24,2023-10-28,7,SAT,45797.01,GAMING,UPI_QR,DEV-68500,True,False,,41302.38317073171,37529.44974107377,0.12,40,9,21,1,2023-03-07,235,0,10.43,44,1789,HIGH,0,60,37.7,MEDIUM
